Name,Year
Futha Mucka,
The Piano Lesson,
The Marvels,2023
Argylle,2022
Secret Invasion,2022
Blazing Samurai,2022
The Last Days of Ptolemy Grey,2021
What If...?,2021
The Protege,2021
Hitman's Wife's Bodyguard,2021
Spiral,2021
Death to 2020,2020
Capitol One: Christmas Ad,2020
Staged,2020
The Banker,2020
Star Wars: Episode IX - The Rise of Skywalker,2019
The Last Full Measure,2019
Spider-Man: Far from Home,2019
The Late Show with Stephen Colbert,2019
Shaft,2019
Avengers: Endgame,2019
Captain Marvel,2019
Glass,2019
Life Itself,2018
Incredibles 2,2018
Moose,2018
Avengers: Infinity War,2018
Tyrannosaurus Funk,2017
Unicorn Store,2017
The Hitman's Bodyguard,2017
Kong: Skull Island,2017
xXx: Return of Xander Cage,2017
Miss Peregrine's Home for Peculiar Children,2016
The Legend of Tarzan,2016
Cell,2016/I
The Hateful Eight,2015
Chi-Raq,2015
Disney Infinity 3.0,2015
Barely Lethal,2015
Avengers: Age of Ultron,2015
Kingsman: The Secret Service,2014
Black Dynamite,2014
Disney Infinity: Marvel Super Heroes,2014
Big Game,2014
Kite,2014
Agents of S.H.I.E.L.D.,2013-2014
Captain America: The Winter Soldier,2014
Jimmy Kimmel Live!,2014
RoboCop,2014
Reasonable Doubt,2014
Oldboy,2013
Funny or Die Presents...,2013
Turbo,2013
Django Unchained,2012
Wake the Fuck Up,2012
Adventures in Zambezia,2012
The Avengers,2012
Meeting Evil,2012
The Samaritan,2012/I
Arena,2011
Captain America: The First Avenger,2011
Thor,2011
Lego Star Wars III: The Clone Wars,2011
The Sunset Limited,2011
Quantum Quest: A Cassini Space Odyssey,2010
The Boondocks,2005-2010
The Other Guys,2010
Unthinkable,2010
Iron Man 2,2010
Iron Man 2,2010
Heroes of Newerth,2010
The RRF in New Recruit,2010
Jamie Foxx Ft. T-Pain: Blame It,2009
Astro Boy,2009
Mother and Child,2009
Inglourious Basterds,2009
Afro Samurai,2009
Afro Samurai: Resurrection,2009
The Spirit,2008
Soul Men,2008
Gospel Hill,2008
Lakeview Terrace,2008
Star Wars: The Clone Wars,2008
Iron Man,2008
Jumper,2008
Cleaner,2007
Great Performances,1990-2007
1408,2007
Afro Samurai,2007
Resurrecting the Champ,2007
Farce of the Penguins,2006
Home of the Brave,2006
Black Snake Moan,2006
Snakes on a Plane,2006
"Cobra Starship Feat. William Beckett, Travie McCoy and Maja Ivarsson: Snakes on a Plane (Bring It)",2006
Freedomland,2006
The Man,2005
Extras,2005
Star Wars: Episode III - Revenge of the Sith,2005
xXx: State of the Union,2005
Mr. Incredible and Pals,2005
Coach Carter,2005
Twista: Hope,2004
The Incredibles: When Danger Calls,2004
The Incredibles,2004
The Incredibles,2004
Grand Theft Auto: San Andreas,2004
Grand Theft Auto: San Andreas - The Introduction,2004
Kill Bill: Vol. 2,2004
Twisted,2004/I
In My Country,2004
Freedom: A History of US,2003
S.W.A.T.,2003
Basic,2003
Star Wars: Episode II - Attack of the Clones: Deleted Scenes,2002
xXx,2002
No Good Deed,2002
Star Wars: Episode II - Attack of the Clones,2002
Changing Lanes,2002
The Comeback,2002
Formula 51,2001
The Proud Family,2001
The Caveman's Valentine,2001
Unbreakable,2000
Shaft,2000
WWE Smackdown!,2000
Rules of Engagement,2000
Deep Blue Sea,1999
Linc's,1999
Star Wars: Episode I - The Phantom Menace,1999
"Our Friend, Martin",1999
The Red Violin,1998
The Negotiator,1998
Out of Sight,1998
Sphere,1998
Jackie Brown,1997
Eve's Bayou,1997
One Eight Seven,1997
Happily Ever After: Fairy Tales for Every Child,1997
The Long Kiss Goodnight,1996
A Time to Kill,1996
Trees Lounge,1996
The Great White Hype,1996
Hard Eight,1996
Fluke,1995
Die Hard with a Vengeance,1995
Kiss of Death,1995
Losing Isaiah,1995
The Search for One-eye Jimmy,1994
The New Age,1994
Pulp Fiction,1994
Hail Caesar,1994
Against the Wall,1994
Assault at West Point: The Court-Martial of Johnson Whittaker,1994
Fresh,1994
True Romance,1993
Jurassic Park,1993
Menace II Society,1993
Amos & Andrew,1993
Loaded Weapon 1,1993
American Experience,1993
I'll Fly Away,1992
Ghostwriter,1992
Patriot Games,1992
White Sands,1992
Fathers & Sons,1992
Juice,1992
Jumpin' at the Boneyard,1991
Dead and Alive: The Race for Gus Farace,1991
Strictly Business,1991
Roc,1991
Johnny Suede,1991
Jungle Fever,1991
Law & Order,1991
The Return of Superfly,1990
Goodfellas,1990
The Exorcist III,1990
Mo' Better Blues,1990
Betsy's Wedding,1990
Public Enemy: 911 is a Joke,1990
Common Ground,1990
A Shock to the System,1990
Def by Temptation,1990
Sea of Love,1989
The Days and Nights of Molly Dodd,1989
Do the Right Thing,1989
A Man Called Hawk,1989
Dead Man Out,1989
Coming to America,1988
School Daze,1988
Spenser: For Hire,1986-1987
Magic Sticks,1987
Uncle Tom's Cabin,1987
Ragtime,1981
The Exterminator,1980
The Trial of the Moke,1978
The Displaced Person,1977
Movin' On,1976
Together for Days,1972
